"","Track","Round","Constructor","RacePoints"
"77","Monaco",8,"Haas Ferrari",5
"78","Monaco",8,"RB Honda RBPT",18
"79","Monaco",8,"Williams Mercedes",2
"80","Monaco",8,"Alpine Renault",2
"81","Canada",9,"Red Bull Racing Honda RBPT",273
"82","Canada",9,"Ferrari",232
"83","Canada",9,"Mercedes",116
"84","Canada",9,"McLaren Mercedes",204
"85","Canada",9,"Aston Martin Aramco Mercedes",58
"86","Canada",9,"Kick Sauber Ferrari",0
"87","Canada",9,"Haas Ferrari",5
"88","Canada",9,"RB Honda RBPT",22
"89","Canada",9,"Williams Mercedes",2
"90","Canada",9,"Alpine Renault",5
"91","Spain",10,"Red Bull Racing Honda RBPT",302
"92","Spain",10,"Ferrari",250
"93","Spain",10,"Mercedes",143
"94","Spain",10,"McLaren Mercedes",229
"95","Spain",10,"Aston Martin Aramco Mercedes",58
"96","Spain",10,"Kick Sauber Ferrari",0
"97","Spain",10,"Haas Ferrari",5
"98","Spain",10,"RB Honda RBPT",22
"99","Spain",10,"Williams Mercedes",2
"100","Spain",10,"Alpine Renault",8
"101","Austria",11,"Red Bull Racing Honda RBPT",318
"102","Austria",11,"Ferrari",265
"103","Austria",11,"Mercedes",180
"104","Austria",11,"McLaren Mercedes",247
"105","Austria",11,"Aston Martin Aramco Mercedes",58
"106","Austria",11,"Kick Sauber Ferrari",0
"107","Austria",11,"Haas Ferrari",17
"108","Austria",11,"RB Honda RBPT",24
"109","Austria",11,"Williams Mercedes",2
"110","Austria",11,"Alpine Renault",9
"111","Great Britain",12,"Red Bull Racing Honda RBPT",336
"112","Great Britain",12,"Ferrari",276
"113","Great Britain",12,"Mercedes",205
"114","Great Britain",12,"McLaren Mercedes",274
"115","Great Britain",12,"Aston Martin Aramco Mercedes",68
"116","Great Britain",12,"Kick Sauber Ferrari",0
"117","Great Britain",12,"Haas Ferrari",25
"118","Great Britain",12,"RB Honda RBPT",25
"119","Great Britain",12,"Williams Mercedes",4
"120","Great Britain",12,"Alpine Renault",9
"121","Hungary",13,"Red Bull Racing Honda RBPT",352
"122","Hungary",13,"Ferrari",296
"123","Hungary",13,"Mercedes",225
"124","Hungary",13,"McLaren Mercedes",317
"125","Hungary",13,"Aston Martin Aramco Mercedes",69
"126","Hungary",13,"Kick Sauber Ferrari",0
"127","Hungary",13,"Haas Ferrari",25
"128","Hungary",13,"RB Honda RBPT",27
"129","Hungary",13,"Williams Mercedes",4
"130","Hungary",13,"Alpine Renault",9
"131","Belgium",14,"Red Bull Racing Honda RBPT",371
"132","Belgium",14,"Ferrari",319
"133","Belgium",14,"Mercedes",250
"134","Belgium",14,"McLaren Mercedes",345
"135","Belgium",14,"Aston Martin Aramco Mercedes",73
"136","Belgium",14,"Kick Sauber Ferrari",0
"137","Belgium",14,"Haas Ferrari",25
"138","Belgium",14,"RB Honda RBPT",28
"139","Belgium",14,"Williams Mercedes",4
"140","Belgium",14,"Alpine Renault",11
"141","Netherlands",15,"Red Bull Racing Honda RBPT",397
"142","Netherlands",15,"Ferrari",344
"143","Netherlands",15,"Mercedes",260
"144","Netherlands",15,"McLaren Mercedes",383
"145","Netherlands",15,"Aston Martin Aramco Mercedes",74
"146","Netherlands",15,"Kick Sauber Ferrari",0
"147","Netherlands",15,"Haas Ferrari",25
"148","Netherlands",15,"RB Honda RBPT",28
"149","Netherlands",15,"Williams Mercedes",4
"150","Netherlands",15,"Alpine Renault",13
"151","Italy",16,"Red Bull Racing Honda RBPT",409
"152","Italy",16,"Ferrari",381
"153","Italy",16,"Mercedes",276
"154","Italy",16,"McLaren Mercedes",417
"155","Italy",16,"Aston Martin Aramco Mercedes",74
"156","Italy",16,"Kick Sauber Ferrari",0
"157","Italy",16,"Haas Ferrari",26
"158","Italy",16,"RB Honda RBPT",28
"159","Italy",16,"Williams Mercedes",6
"160","Italy",16,"Alpine Renault",13
"161","Azerbaijan",17,"Red Bull Racing Honda RBPT",419
"162","Azerbaijan",17,"Ferrari",399
"163","Azerbaijan",17,"Mercedes",293
"164","Azerbaijan",17,"McLaren Mercedes",455
"165","Azerbaijan",17,"Aston Martin Aramco Mercedes",82
"166","Azerbaijan",17,"Kick Sauber Ferrari",0
"167","Azerbaijan",17,"Haas Ferrari",27
"168","Azerbaijan",17,"RB Honda RBPT",28
"169","Azerbaijan",17,"Williams Mercedes",16
"170","Azerbaijan",17,"Alpine Renault",13
"171","Singapore",18,"Red Bull Racing Honda RBPT",438
"172","Singapore",18,"Ferrari",415
"173","Singapore",18,"Mercedes",313
"174","Singapore",18,"McLaren Mercedes",495
"175","Singapore",18,"Aston Martin Aramco Mercedes",86
"176","Singapore",18,"Kick Sauber Ferrari",0
"177","Singapore",18,"Haas Ferrari",29
"178","Singapore",18,"RB Honda RBPT",28
"179","Singapore",18,"Williams Mercedes",16
"180","Singapore",18,"Alpine Renault",13
"181","United States",19,"Red Bull Racing Honda RBPT",459
"182","United States",19,"Ferrari",458
"183","United States",19,"Mercedes",321
"184","United States",19,"McLaren Mercedes",517
"185","United States",19,"Aston Martin Aramco Mercedes",86
"186","United States",19,"Kick Sauber Ferrari",0
"187","United States",19,"Haas Ferrari",33
"188","United States",19,"RB Honda RBPT",30
"189","United States",19,"Williams Mercedes",17
"190","United States",19,"Alpine Renault",13
"191","Mexico",20,"Red Bull Racing Honda RBPT",467
"192","Mexico",20,"Ferrari",499
"193","Mexico",20,"Mercedes",343
"194","Mexico",20,"McLaren Mercedes",539
"195","Mexico",20,"Aston Martin Aramco Mercedes",86
"196","Mexico",20,"Kick Sauber Ferrari",0
"197","Mexico",20,"Haas Ferrari",41
"198","Mexico",20,"RB Honda RBPT",30
"199","Mexico",20,"Williams Mercedes",17
"200","Mexico",20,"Alpine Renault",14
"201","Brazil",21,"Red Bull Racing Honda RBPT",493
"202","Brazil",21,"Ferrari",509
"203","Brazil",21,"Mercedes",356
"204","Brazil",21,"McLaren Mercedes",551
"205","Brazil",21,"Aston Martin Aramco Mercedes",86
"206","Brazil",21,"Kick Sauber Ferrari",0
"207","Brazil",21,"Haas Ferrari",41
"208","Brazil",21,"RB Honda RBPT",38
"209","Brazil",21,"Williams Mercedes",17
"210","Brazil",21,"Alpine Renault",47
"211","Las Vegas",22,"Red Bull Racing Honda RBPT",504
"212","Las Vegas",22,"Ferrari",536
"213","Las Vegas",22,"Mercedes",399
"214","Las Vegas",22,"McLaren Mercedes",566
"215","Las Vegas",22,"Aston Martin Aramco Mercedes",86
"216","Las Vegas",22,"Kick Sauber Ferrari",0
"217","Las Vegas",22,"Haas Ferrari",45
"218","Las Vegas",22,"RB Honda RBPT",40
"219","Las Vegas",22,"Williams Mercedes",17
"220","Las Vegas",22,"Alpine Renault",47
"221","Qatar",23,"Red Bull Racing Honda RBPT",529
"222","Qatar",23,"Ferrari",562
"223","Qatar",23,"Mercedes",411
"224","Qatar",23,"McLaren Mercedes",583
"225","Qatar",23,"Aston Martin Aramco Mercedes",92
"226","Qatar",23,"Kick Sauber Ferrari",4
"227","Qatar",23,"Haas Ferrari",47
"228","Qatar",23,"RB Honda RBPT",40
"229","Qatar",23,"Williams Mercedes",17
"230","Qatar",23,"Alpine Renault",57
"231","Abu Dhabi",24,"Red Bull Racing Honda RBPT",537
"232","Abu Dhabi",24,"Ferrari",595
"233","Abu Dhabi",24,"Mercedes",433
"234","Abu Dhabi",24,"McLaren Mercedes",609
"235","Abu Dhabi",24,"Aston Martin Aramco Mercedes",94
"236","Abu Dhabi",24,"Kick Sauber Ferrari",4
"237","Abu Dhabi",24,"Haas Ferrari",51
"238","Abu Dhabi",24,"RB Honda RBPT",40
"239","Abu Dhabi",24,"Williams Mercedes",17
"240","Abu Dhabi",24,"Alpine Renault",63
